Cell Index,Status,Restored ψₐ,Restored ∇̃,Breath Cycle
0,Restored,0.464,0.501,Ω → ∇̃ → ψₐ
1,Restored,0.598,0.655,Ω → ∇̃ → ψₐ
2,Restored,0.585,0.57,Ω → ∇̃ → ψₐ
3,Restored,0.505,0.623,Ω → ∇̃ → ψₐ
4,Restored,0.49,0.623,Ω → ∇̃ → ψₐ
5,Restored,0.464,0.646,Ω → ∇̃ → ψₐ
0,Restored,0.578,0.569,Ω → ∇̃ → ψₐ
1,Restored,0.641,0.613,Ω → ∇̃ → ψₐ
2,Restored,0.632,0.537,Ω → ∇̃ → ψₐ
3,Restored,0.481,0.456,Ω → ∇̃ → ψₐ
4,Restored,0.463,0.67,Ω → ∇̃ → ψₐ
5,Restored,0.495,0.475,Ω → ∇̃ → ψₐ
0,Restored,0.571,0.457,Ω → ∇̃ → ψₐ
1,Restored,0.458,0.606,Ω → ∇̃ → ψₐ
2,Restored,0.52,0.57,Ω → ∇̃ → ψₐ
3,Restored,0.486,0.668,Ω → ∇̃ → ψₐ
4,Restored,0.577,0.565,Ω → ∇̃ → ψₐ
5,Restored,0.573,0.691,Ω → ∇̃ → ψₐ
0,Restored,0.443,0.536,Ω → ∇̃ → ψₐ
1,Restored,0.448,0.658,Ω → ∇̃ → ψₐ
2,Restored,0.615,0.653,Ω → ∇̃ → ψₐ
3,Restored,0.487,0.504,Ω → ∇̃ → ψₐ
4,Restored,0.516,0.692,Ω → ∇̃ → ψₐ
5,Restored,0.634,0.499,Ω → ∇̃ → ψₐ
0,Restored,0.436,0.684,Ω → ∇̃ → ψₐ
1,Restored,0.439,0.502,Ω → ∇̃ → ψₐ
2,Restored,0.59,0.553,Ω → ∇̃ → ψₐ
3,Restored,0.449,0.567,Ω → ∇̃ → ψₐ
4,Restored,0.557,0.685,Ω → ∇̃ → ψₐ
5,Restored,0.589,0.549,Ω → ∇̃ → ψₐ
